MSZoning,LotArea,Utilities,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,BsmtQual,BsmtCond,CentralAir,KitchenQual,GarageType,GarageArea,GarageQual,GarageCond,SalePrice
RL,8450,AllPub,2Story,7,5,2003,Gable,Gd,TA,Y,Gd,Attchd,548,TA,TA,208500
RL,9600,AllPub,1Story,6,8,1976,Gable,Gd,TA,Y,TA,Attchd,460,TA,TA,181500
RL,11250,AllPub,2Story,7,5,2001,Gable,Gd,TA,Y,Gd,Attchd,608,TA,TA,223500
RL,9550,AllPub,2Story,7,5,1915,Gable,TA,Gd,Y,Gd,Detchd,642,TA,TA,140000
RL,14260,AllPub,2Story,8,5,2000,Gable,Gd,TA,Y,Gd,Attchd,836,TA,TA,250000
RL,14115,AllPub,1.5Fin,5,5,1993,Gable,Gd,TA,Y,TA,Attchd,480,TA,TA,143000
RL,10084,AllPub,1Story,8,5,2004,Gable,Ex,TA,Y,Gd,Attchd,636,TA,TA,307000
RL,10382,AllPub,2Story,7,6,1973,Gable,Gd,TA,Y,TA,Attchd,484,TA,TA,200000
RM,6120,AllPub,1.5Fin,7,5,1931,Gable,TA,TA,Y,TA,Detchd,468,Fa,TA,129900
RL,7420,AllPub,1.5Unf,5,6,1939,Gable,TA,TA,Y,TA,Attchd,205,Gd,TA,118000
RL,11200,AllPub,1Story,5,5,1965,Hip,TA,TA,Y,TA,Detchd,384,TA,TA,129500
RL,11924,AllPub,2Story,9,5,2005,Hip,Ex,TA,Y,Ex,BuiltIn,736,TA,TA,345000
RL,12968,AllPub,1Story,5,6,1962,Hip,TA,TA,Y,TA,Detchd,352,TA,TA,144000
RL,10652,AllPub,1Story,7,5,2006,Gable,Gd,TA,Y,Gd,Attchd,840,TA,TA,279500
RL,10920,AllPub,1Story,6,5,1960,Hip,TA,TA,Y,TA,Attchd,352,TA,TA,157000
RM,6120,AllPub,1.5Unf,7,8,1929,Gable,TA,TA,Y,TA,Detchd,576,TA,TA,132000
RL,11241,AllPub,1Story,6,7,1970,Gable,TA,TA,Y,TA,Attchd,480,TA,TA,149000
RL,10791,AllPub,1Story,4,5,1967,Gable,TA,TA,Y,TA,CarPort,516,TA,TA,90000
RL,13695,AllPub,1Story,5,5,2004,Gable,TA,TA,Y,Gd,Detchd,576,TA,TA,159000
RL,7560,AllPub,1Story,5,6,1958,Hip,TA,TA,Y,TA,Attchd,294,TA,TA,139000
RL,14215,AllPub,2Story,8,5,2005,Gable,Ex,TA,Y,Gd,BuiltIn,853,TA,TA,325300
RM,7449,AllPub,1.5Unf,7,7,1930,Gable,TA,TA,Y,Gd,Attchd,280,TA,TA,139400
RL,9742,AllPub,1Story,8,5,2002,Hip,Gd,TA,Y,Gd,Attchd,534,TA,TA,230000
RM,4224,AllPub,1Story,5,7,1976,Gable,Gd,TA,Y,TA,Attchd,572,TA,TA,129900
RL,8246,AllPub,1Story,5,8,1968,Gable,TA,TA,Y,Gd,Attchd,270,TA,TA,154000
RL,14230,AllPub,1Story,8,5,2007,Gable,Gd,TA,Y,Gd,Attchd,890,TA,TA,256300
RL,7200,AllPub,1Story,5,7,1951,Gable,TA,TA,Y,Gd,Detchd,576,TA,TA,134800
RL,11478,AllPub,1Story,8,5,2007,Gable,Ex,TA,Y,Gd,Attchd,772,TA,TA,306000
RL,16321,AllPub,1Story,5,6,1957,Gable,TA,TA,Y,TA,Attchd,319,TA,TA,207500
RM,6324,AllPub,1Story,4,6,1927,Gable,TA,TA,N,Fa,Detchd,240,Fa,TA,68500
C (all),8500,AllPub,2Story,4,4,1920,Gambrel,TA,TA,N,TA,Detchd,250,TA,Fa,40000
RL,8544,AllPub,1Story,5,6,1966,Gable,TA,TA,Y,Gd,Attchd,271,TA,TA,149350
RL,11049,AllPub,1Story,8,5,2007,Gable,Ex,TA,Y,Gd,Attchd,484,TA,TA,179900
RL,10552,AllPub,1Story,5,5,1959,Hip,TA,TA,Y,Gd,Attchd,447,TA,TA,165500
RL,7313,AllPub,1Story,9,5,2005,Hip,Ex,TA,Y,Ex,Attchd,556,TA,TA,277500
RL,13418,AllPub,2Story,8,5,2004,Gable,Ex,TA,Y,Gd,BuiltIn,691,TA,TA,309000
RL,10859,AllPub,1Story,5,5,1994,Gable,Gd,TA,Y,TA,Attchd,672,TA,TA,145000
RL,8532,AllPub,1Story,5,6,1954,Hip,TA,TA,Y,TA,Attchd,498,TA,TA,153000
RL,7922,AllPub,1Story,5,7,1953,Gable,TA,TA,Y,Gd,Detchd,246,TA,TA,109000
RL,6040,AllPub,1Story,4,5,1955,Gable,TA,TA,N,Fa,Attchd,0,TA,TA,82000
RL,8658,AllPub,1Story,6,5,1965,Gable,TA,TA,Y,TA,Attchd,440,TA,TA,160000
RL,16905,AllPub,1Story,5,6,1959,Gable,TA,TA,Y,TA,Attchd,308,TA,TA,170000
RL,9180,AllPub,SFoyer,5,7,1983,Gable,Gd,TA,Y,Gd,Attchd,504,TA,Gd,144000
RL,9200,AllPub,1Story,5,6,1975,Hip,Gd,TA,Y,TA,Detchd,308,TA,TA,130250
RL,7945,AllPub,1Story,5,6,1959,Gable,TA,TA,Y,TA,Attchd,300,TA,TA,141000
RL,7658,AllPub,1Story,9,5,2005,Hip,Ex,TA,Y,Ex,Attchd,576,TA,TA,319900
RL,12822,AllPub,1.5Fin,7,5,2003,Gable,Ex,TA,Y,Gd,Attchd,670,TA,TA,239686
